"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2022;"01750";"2100221";"10";"kg";"Non";"Non"
2022;"01290";"9200215";"1.1";"kg";"Non";"Non"
2022;"01290";"9200436";"10";"l";"Non";"Non"
2022;"01290";"9400008";"0.92";"l";"Non";"Non"
2022;"01290";"9400012";"1.65";"l";"Non";"Non"
2022;"01290";"9400085";"18";"l";"Non";"Non"
2022;"01290";"9400280";"5";"kg";"Non";"Non"
2022;"01290";"9400485";"10";"l";"Non";"Non"
2022;"01290";"9500147";"20.5";"kg";"Oui";"Non"
2022;"01290";"9500595";"4";"l";"Non";"Non"
2022;"01290";"9600093";"5";"l";"Non";"Non"
2022;"01290";"9600548";"160";"l";"Non";"Non"
2022;"01290";"9700070";"1.4";"kg";"Non";"Non"
2022;"01290";"9700332";"5";"l";"Non";"Non"
2022;"01290";"9700401";"1";"kg";"Non";"Non"
2022;"01290";"9800018";"20";"l";"Non";"Non"
2022;"01290";"9800085";"20";"l";"Non";"Non"
2022;"01290";"9800098";"5";"kg";"Non";"Non"
2022;"01290";"9800182";"140";"l";"Non";"Non"
2022;"01290";"9800245";"16";"kg";"Non";"Non"
2022;"01290";"9800259";"300";"l";"Non";"Non"
2022;"01290";"9800262";"1";"kg";"Non";"Non"
2022;"01290";"9800336";"36.55";"l";"Non";"Non"
2022;"01290";"9800344";"3.44";"l";"Non";"Non"
2022;"01290";"9800420";"0.6";"l";"Non";"Non"
2022;"01290";"9800474";"7.5";"kg";"Non";"Non"
2022;"01290";"9800481";"45";"l";"Non";"Non"
2022;"01290";"9900037";"0.06";"kg";"Non";"Non"
2022;"01290";"9900047";"125";"l";"Non";"Non"
2022;"01290";"9900251";"640";"l";"Non";"Non"
2022;"01290";"9900257";"97.8";"kg";"Oui";"Non"
2022;"01300";"2000003";"58";"l";"Non";"Non"
2022;"01300";"2000018";"1160";"kg";"Non";"Non"
2022;"01300";"2000044";"30";"l";"Non";"Non"
2022;"01300";"2000122";"0.19";"l";"Non";"Non"
2022;"01300";"2000125";"32.34";"kg";"Oui";"Non"
2022;"01300";"2000201";"11.43";"l";"Non";"Non"
2022;"01300";"2000299";"8";"l";"Non";"Non"
2022;"01300";"2000327";"26";"l";"Non";"Non"
2022;"01300";"2000536";"9";"kg";"Non";"Non"
2022;"01300";"2010023";"1";"l";"Non";"Non"
2022;"01300";"2010130";"110";"kg";"Non";"Non"
2022;"01300";"2010280";"5.67";"l";"Non";"Non"
2022;"01300";"2010495";"75";"kg";"Non";"Non"
2022;"01300";"2010513";"20";"kg";"Non";"Non"
2022;"01300";"2010531";"20";"l";"Non";"Non"
2022;"01300";"2020021";"20";"l";"Non";"Non"
2022;"01300";"2020474";"10";"l";"Non";"Non"
2022;"01300";"2030323";"2.17";"l";"Non";"Non"
2022;"01300";"2030332";"10";"l";"Non";"Non"
2022;"01300";"2030404";"290";"l";"Non";"Non"
2022;"01300";"2040146";"2.55";"l";"Non";"Non"
2022;"01300";"2050046";"1";"kg";"Non";"Non"
2022;"01300";"2060050";"7";"l";"Non";"Non"
2022;"01300";"2060088";"560";"l";"Non";"Non"
2022;"01300";"2060098";"6.6";"l";"Non";"Non"
2022;"01300";"2060127";"0.2";"l";"Non";"Non"
2022;"01300";"2060131";"5";"l";"Non";"Non"
2022;"01300";"2080029";"8";"l";"Non";"Non"
2022;"01300";"2080094";"17";"kg";"Non";"Non"
2022;"01300";"2080102";"10";"l";"Non";"Non"
2022;"01300";"2080105";"15";"l";"Non";"Non"
2022;"01300";"2080136";"3";"kg";"Non";"Non"
2022;"01300";"2090011";"10";"l";"Non";"Non"
2022;"01300";"2090037";"21";"kg";"Non";"Non"
2022;"01300";"2090042";"4.1";"kg";"Non";"Non"
2022;"01300";"2090050";"1392";"kg";"Non";"Non"
2022;"01300";"2090052";"0.81";"kg";"Non";"Non"
2022;"01300";"2090064";"485";"l";"Non";"Non"
2022;"01300";"2090095";"10";"l";"Non";"Non"
2022;"01300";"2090101";"95";"l";"Non";"Non"
2022;"01300";"2090111";"10.25";"l";"Non";"Non"
2022;"01300";"2090112";"10";"l";"Non";"Non"
2022;"01300";"2090113";"400";"l";"Non";"Non"
2022;"01300";"2090118";"160";"l";"Non";"Non"
2022;"01300";"2090119";"150";"l";"Non";"Non"
2022;"01300";"2090121";"30";"l";"Non";"Non"
2022;"01300";"2090126";"30";"l";"Non";"Non"
2022;"01300";"2090127";"60";"l";"Non";"Non"
2022;"01300";"2090132";"152";"l";"Non";"Non"
2022;"01300";"2090146";"51.04";"l";"Oui";"Non"
2022;"01300";"2090153";"58";"kg";"Non";"Non"
2022;"01300";"2090159";"23.56";"kg";"Non";"Non"
2022;"01300";"2090199";"25.55";"l";"Oui";"Non"
2022;"01300";"2090200";"51.01";"l";"Oui";"Non"
2022;"01300";"2100009";"6.3";"kg";"Non";"Non"
2022;"01300";"2100026";"1";"l";"Non";"Non"
2022;"01300";"2100028";"55";"l";"Non";"Non"
2022;"01300";"2100030";"200";"kg";"Non";"Non"
2022;"01300";"2100038";"400";"kg";"Non";"Non"
2022;"01300";"2100041";"255";"l";"Non";"Non"
2022;"01300";"2100053";"20";"l";"Non";"Non"
2022;"01300";"2100057";"20";"l";"Non";"Non"
2022;"01300";"2100060";"90";"l";"Non";"Non"
2022;"01300";"2100108";"70";"l";"Non";"Non"
2022;"01300";"2100111";"475";"l";"Non";"Non"
2022;"01300";"2100121";"9";"l";"Non";"Non"
2022;"01300";"2100138";"115";"l";"Non";"Non"
2022;"01300";"2100151";"7.14";"l";"Non";"Non"
2022;"01300";"2100175";"0.47";"l";"Non";"Non"
2022;"01300";"2100177";"3.75";"kg";"Non";"Non"
2022;"01300";"2100181";"90";"kg";"Non";"Non"
2022;"01300";"2100221";"215";"kg";"Non";"Non"
2022;"01300";"2100231";"24";"kg";"Non";"Non"
2022;"01300";"2110012";"2";"l";"Non";"Non"
2022;"01300";"2110018";"1.46";"l";"Non";"Non"
2022;"01300";"2110040";"0.19";"kg";"Oui";"Non"
2022;"01300";"2110059";"110";"kg";"Non";"Non"
2022;"01300";"2110086";"14";"l";"Non";"Non"
2022;"01300";"2110101";"10";"l";"Non";"Non"
2022;"01300";"2110102";"274.44";"l";"Non";"Non"
2022;"01300";"2110111";"420";"l";"Non";"Non"
2022;"01300";"2110141";"10";"l";"Non";"Non"
2022;"01300";"2110148";"3";"l";"Non";"Non"
2022;"01300";"2110149";"37.66";"l";"Oui";"Non"
2022;"01300";"2110150";"19.28";"l";"Oui";"Non"
2022;"01300";"2110152";"1";"l";"Non";"Non"
2022;"01300";"2110173";"20";"kg";"Non";"Non"
2022;"01300";"2110180";"2.93";"kg";"Oui";"Non"
2022;"01300";"2110196";"0.6";"kg";"Oui";"Non"
2022;"01300";"2110197";"2";"l";"Non";"Non"
2022;"01300";"2120041";"1.48";"l";"Non";"Non"
2022;"01300";"2120048";"124";"l";"Non";"Non"
2022;"01300";"2120066";"20";"l";"Non";"Non"
2022;"01300";"2120081";"38";"l";"Non";"Non"
2022;"01300";"2120089";"10";"l";"Non";"Non"
2022;"01300";"2120120";"105";"l";"Non";"Non"
2022;"01300";"2120132";"100";"kg";"Non";"Non"
2022;"01300";"2120143";"1210";"l";"Non";"Non"
2022;"01300";"2130049";"44";"l";"Non";"Non"
2022;"01300";"2130063";"270";"l";"Non";"Non"
2022;"01300";"2130067";"2";"l";"Non";"Non"
2022;"01300";"2130068";"4";"l";"Non";"Non"
2022;"01300";"2130075";"80";"kg";"Non";"Non"
2022;"01300";"2130126";"73.1";"kg";"Oui";"Non"
2022;"01300";"2130129";"15";"kg";"Non";"Non"
2022;"01300";"2130140";"90";"l";"Non";"Non"
2022;"01300";"2130152";"9";"l";"Non";"Non"
2022;"01300";"2130153";"20.15";"l";"Oui";"Non"
2022;"01300";"2130175";"1";"l";"Non";"Non"
2022;"01300";"2130249";"60";"l";"Non";"Non"
2022;"01300";"2130251";"1";"l";"Non";"Non"
2022;"01300";"2130266";"15";"l";"Non";"Non"
2022;"01300";"2140022";"293";"l";"Non";"Non"
2022;"01300";"2140084";"440";"l";"Non";"Non"
2022;"01300";"2140090";"50";"l";"Non";"Non"
2022;"01300";"2140098";"5";"l";"Non";"Non"
2022;"01300";"2140121";"272.76";"l";"Oui";"Non"
2022;"01300";"2140124";"0.9";"kg";"Non";"Non"
2022;"01300";"2140147";"8";"l";"Non";"Non"
2022;"01300";"2140166";"1.08";"l";"Oui";"Non"
2022;"01300";"2140167";"14.08";"l";"Oui";"Non"
2022;"01300";"2140193";"3.3";"l";"Oui";"Non"
2022;"01300";"2140238";"1";"l";"Non";"Non"
2022;"01300";"2140252";"178.72";"kg";"Oui";"Non"
2022;"01300";"2140255";"20";"l";"Non";"Non"
2022;"01300";"2140257";"30";"l";"Non";"Non"
2022;"01300";"2150022";"125";"l";"Non";"Non"
2022;"01300";"2150028";"345";"l";"Non";"Non"
2022;"01300";"2150104";"100";"l";"Non";"Non"
2022;"01300";"2150124";"4.32";"l";"Non";"Non"
2022;"01300";"2150140";"620";"l";"Non";"Non"
2022;"01300";"2150417";"7.91";"l";"Oui";"Non"
2022;"01300";"2150785";"95";"l";"Non";"Non"
2022;"01300";"2150790";"35.12";"kg";"Oui";"Non"
2022;"01300";"2150964";"30";"kg";"Non";"Non"
2022;"01300";"2160016";"12";"kg";"Non";"Non"
2022;"01300";"2160115";"106.6";"l";"Oui";"Non"
2022;"01300";"2160226";"120";"kg";"Non";"Non"
2022;"01300";"2160479";"250";"l";"Non";"Non"
2022;"01300";"2160615";"4.30";"kg";"Oui";"Non"
2022;"01300";"2160693";"3";"l";"Non";"Non"
2022;"01300";"2160726";"30";"l";"Non";"Non"
2022;"01300";"2160756";"10";"l";"Non";"Non"
2022;"01300";"2160817";"40";"l";"Non";"Non"
2022;"01300";"2160841";"5";"kg";"Non";"Non"
2022;"01300";"2160900";"10";"l";"Non";"Non"
2022;"01300";"2160920";"30";"l";"Non";"Non"
2022;"01300";"2160931";"17.75";"l";"Non";"Non"
2022;"01300";"2160936";"6";"l";"Non";"Non"
2022;"01300";"2160959";"115";"l";"Non";"Non"
2022;"01300";"2160962";"2";"l";"Non";"Non"
2022;"01300";"2161101";"5.76";"l";"Non";"Non"
2022;"01300";"2170158";"10";"l";"Non";"Non"
2022;"01300";"2170216";"4";"kg";"Non";"Non"
2022;"01300";"2170243";"35.58";"l";"Oui";"Non"
2022;"01300";"2170381";"165";"l";"Non";"Non"
2022;"01300";"2170412";"25";"l";"Non";"Non"
2022;"01300";"2170458";"10";"kg";"Non";"Non"
2022;"01300";"2170685";"5.24";"l";"Oui";"Non"
2022;"01300";"2170691";"11";"l";"Non";"Non"
2022;"01300";"2170752";"0.14";"l";"Non";"Non"
2022;"01300";"2170977";"4.34";"l";"Oui";"Non"
2022;"01300";"2170978";"4.34";"l";"Oui";"Non"
2022;"01300";"2170979";"6";"kg";"Non";"Non"
2022;"01300";"2170992";"3";"l";"Non";"Non"
2022;"01300";"2171054";"5";"l";"Non";"Non"
2022;"01300";"2171066";"10";"l";"Non";"Non"
2022;"01300";"2171067";"7.56";"l";"Oui";"Non"
2022;"01300";"2171119";"14.25";"kg";"Non";"Non"
2022;"01300";"2171141";"45";"l";"Non";"Non"
2022;"01300";"2171200";"450";"kg";"Non";"Non"
2022;"01300";"2171253";"0.03";"l";"Non";"Non"
2022;"01300";"2180088";"30";"l";"Non";"Non"
2022;"01300";"2180124";"48.53";"l";"Non";"Non"
2022;"01300";"2180165";"5";"l";"Non";"Non"
2022;"01300";"2180233";"135";"l";"Non";"Non"
2022;"01300";"2180256";"47.7";"kg";"Oui";"Non"
2022;"01300";"2180319";"13.35";"l";"Oui";"Non"
2022;"01300";"2180380";"6.0";"l";"Non";"Non"
2022;"01300";"2180651";"1.85";"kg";"Non";"Non"
2022;"01300";"2180829";"30";"l";"Non";"Non"
2022;"01300";"2180858";"0.08";"kg";"Oui";"Non"
2022;"01300";"2180865";"1.35";"l";"Non";"Non"
2022;"01300";"2180888";"2.37";"l";"Oui";"Non"
2022;"01300";"2189993";"13.05";"kg";"Oui";"Non"
2022;"01300";"2190040";"60";"l";"Non";"Non"
2022;"01300";"2190088";"4.80";"l";"Oui";"Non"
2022;"01300";"2190129";"10";"l";"Non";"Non"
2022;"01300";"2190173";"54";"kg";"Non";"Non"
2022;"01300";"2190198";"240";"l";"Non";"Non"
2022;"01300";"2190265";"20";"kg";"Non";"Non"
2022;"01300";"2190319";"113.04";"l";"Oui";"Non"
2022;"01300";"2190346";"0.18";"kg";"Oui";"Non"
2022;"01300";"2190634";"45";"l";"Non";"Non"
2022;"01300";"2190760";"42.8";"kg";"Oui";"Non"
2022;"01300";"2190808";"62.00";"l";"Oui";"Non"
2022;"01300";"2190811";"22.02";"l";"Oui";"Non"
2022;"01300";"2190919";"80";"kg";"Non";"Non"
2022;"01300";"2200059";"9.27";"l";"Oui";"Non"
2022;"01300";"2200526";"35.77";"l";"Oui";"Non"
2022;"01300";"2200736";"0.14";"l";"Non";"Non"
2022;"01300";"2200753";"155";"l";"Non";"Non"
2022;"01300";"2209999";"5";"kg";"Non";"Non"
2022;"01300";"2210020";"5";"l";"Non";"Non"
2022;"01300";"2210192";"40";"l";"Non";"Non"
2022;"01300";"2210568";"5";"l";"Non";"Non"
2022;"01300";"5100219";"325";"kg";"Non";"Non"
2022;"01300";"6400401";"1";"kg";"Non";"Non"
2022;"01300";"7200313";"20";"l";"Non";"Non"
2022;"01300";"7700216";"970";"l";"Non";"Non"
2022;"01300";"8300488";"270";"l";"Non";"Non"
2022;"01300";"8400096";"33";"l";"Non";"Non"
2022;"01300";"8400255";"1.3";"kg";"Non";"Non"
2022;"01300";"8700107";"170";"kg";"Non";"Non"
2022;"01300";"8700462";"590";"l";"Non";"Non"
2022;"01300";"8800504";"10";"l";"Non";"Non"
2022;"01300";"8800841";"0.5";"l";"Non";"Non"
2022;"01300";"8900564";"5";"l";"Non";"Non"
2022;"01300";"9000163";"0.3";"kg";"Non";"Non"
2022;"01300";"9000184";"20";"l";"Non";"Non"
2022;"01300";"9000222";"1900";"l";"Non";"Non"
2022;"01300";"9000490";"192.9";"l";"Non";"Non"
2022;"01300";"9100296";"10";"l";"Non";"Non"
2022;"01300";"9100418";"60";"l";"Non";"Non"
2022;"01300";"9100636";"5";"l";"Non";"Non"
2022;"01300";"9200078";"5";"l";"Non";"Non"
2022;"01300";"9200215";"42.5";"kg";"Non";"Non"
2022;"01300";"9200436";"10";"l";"Non";"Non"
2022;"01300";"9200482";"18";"kg";"Non";"Non"
2022;"01300";"9300032";"5";"l";"Non";"Non"
2022;"01300";"9300108";"40";"kg";"Non";"Non"
2022;"01300";"9300504";"240";"l";"Non";"Non"
2022;"01300";"9400085";"2";"l";"Non";"Non"
2022;"01300";"9500147";"34.25";"kg";"Oui";"Non"
2022;"01300";"9500628";"45";"kg";"Non";"Non"
2022;"01300";"9600001";"24";"kg";"Non";"Non"
2022;"01300";"9600093";"5";"l";"Non";"Non"
2022;"01300";"9600395";"10";"kg";"Non";"Non"
2022;"01300";"9600548";"40";"l";"Non";"Non"
2022;"01300";"9700070";"2";"kg";"Non";"Non"
2022;"01300";"9800076";"38";"l";"Non";"Non"
2022;"01300";"9800085";"5";"l";"Non";"Non"
2022;"01300";"9800126";"5";"kg";"Non";"Non"
2022;"01300";"9800182";"380";"l";"Non";"Non"
2022;"01300";"9800259";"120";"l";"Non";"Non"
2022;"01300";"9800336";"3";"l";"Non";"Non"
2022;"01300";"9800344";"0.56";"l";"Non";"Non"
2022;"01300";"9800347";"5";"l";"Non";"Non"
2022;"01300";"9800474";"840";"kg";"Non";"Non"
2022;"01300";"9800481";"31.44";"l";"Non";"Non"
2022;"01300";"9900037";"2.75";"kg";"Non";"Non"
2022;"01300";"9900047";"175";"l";"Non";"Non"
2022;"01300";"9900189";"120";"kg";"Non";"Non"
2022;"01300";"9900227";"215";"l";"Non";"Non"
2022;"01300";"9900251";"590";"l";"Non";"Non"
2022;"01300";"9900257";"158";"kg";"Oui";"Non"
2022;"01300";"9900354";"50";"kg";"Non";"Non"
2022;"01310";"2000044";"68";"l";"Non";"Non"
2022;"01310";"2000125";"1.47";"kg";"Oui";"Non"
2022;"01310";"2000202";"820";"l";"Non";"Non"
2022;"01310";"2000299";"3";"l";"Non";"Non"
2022;"01310";"2000316";"1";"l";"Non";"Non"
2022;"01310";"2000369";"1.4";"kg";"Non";"Non"
2022;"01310";"2010030";"55";"l";"Non";"Non"
2022;"01310";"2010239";"85";"l";"Non";"Non"
2022;"01310";"2010280";"33.24";"l";"Non";"Non"
2022;"01310";"2010282";"10";"l";"Non";"Non"
2022;"01310";"2010495";"255";"kg";"Non";"Non"
2022;"01310";"2010531";"50";"l";"Non";"Non"
2022;"01310";"2020241";"1";"kg";"Non";"Non"
2022;"01310";"2020474";"15";"l";"Non";"Non"
2022;"01310";"2030255";"25";"l";"Non";"Non"
2022;"01310";"2030323";"8";"l";"Non";"Non"
2022;"01310";"2030342";"80";"l";"Non";"Non"
2022;"01310";"2030404";"20";"l";"Non";"Non"
2022;"01310";"2040146";"14.65";"l";"Non";"Non"
2022;"01310";"2060026";"0.05";"kg";"Non";"Non"
2022;"01310";"2060088";"850";"l";"Non";"Non"
2022;"01310";"2060098";"1.5";"l";"Non";"Non"
2022;"01310";"2060118";"95";"l";"Non";"Non"
2022;"01310";"2060119";"0.3";"kg";"Non";"Non"
2022;"01310";"2060131";"10";"l";"Non";"Non"
2022;"01310";"2070221";"40";"l";"Non";"Non"
2022;"01310";"2080094";"10.0";"kg";"Non";"Non"
2022;"01310";"2080105";"45";"l";"Non";"Non"
2022;"01310";"2080124";"0.6";"kg";"Non";"Non"
2022;"01310";"2080145";"120";"l";"Non";"Non"
2022;"01310";"2090016";"10";"l";"Non";"Non"
2022;"01310";"2090037";"81";"kg";"Non";"Non"
2022;"01310";"2090041";"0.5";"kg";"Non";"Non"
2022;"01310";"2090042";"5.5";"kg";"Non";"Non"
2022;"01310";"2090050";"12144";"kg";"Non";"Non"
2022;"01310";"2090054";"0.25";"kg";"Non";"Non"
2022;"01310";"2090064";"95";"l";"Non";"Non"
2022;"01310";"2090068";"10";"l";"Non";"Non"
2022;"01310";"2090080";"20";"l";"Non";"Non"
2022;"01310";"2090093";"420";"l";"Non";"Non"
2022;"01310";"2090101";"60";"l";"Non";"Non"
2022;"01310";"2090111";"75.30";"l";"Non";"Non"
2022;"01310";"2090113";"400";"l";"Non";"Non"
2022;"01310";"2090118";"240";"l";"Non";"Non"
2022;"01310";"2090153";"128";"kg";"Non";"Non"
2022;"01310";"2090186";"370";"l";"Non";"Non"
2022;"01310";"2100009";"6.84";"kg";"Non";"Non"
2022;"01310";"2100015";"0.09";"kg";"Non";"Non"
2022;"01310";"2100030";"60";"kg";"Non";"Non"
2022;"01310";"2100052";"10";"l";"Non";"Non"
2022;"01310";"2100057";"30";"l";"Non";"Non"
2022;"01310";"2100108";"320";"l";"Non";"Non"
2022;"01310";"2100111";"170";"l";"Non";"Non"
2022;"01310";"2100112";"20";"l";"Non";"Non"
2022;"01310";"2100121";"15";"l";"Non";"Non"
2022;"01310";"2100138";"75";"l";"Non";"Non"
2022;"01310";"2100151";"109.08";"l";"Non";"Non"
2022;"01310";"2100234";"10";"l";"Non";"Non"
2022;"01310";"2110007";"26";"kg";"Non";"Non"
2022;"01310";"2110086";"5";"l";"Non";"Non"
2022;"01310";"2110090";"5";"l";"Non";"Non"
2022;"01310";"2110095";"35";"l";"Non";"Non"
2022;"01310";"2110102";"306.49";"l";"Non";"Non"
2022;"01310";"2110104";"25";"l";"Non";"Non"
2022;"01310";"2110111";"1730";"l";"Non";"Non"
2022;"01310";"2110152";"3";"l";"Non";"Non"
2022;"01310";"2110167";"50";"l";"Non";"Non"
2022;"01310";"2120041";"99.20";"l";"Non";"Non"
2022;"01310";"2120048";"101";"l";"Non";"Non"
2022;"01310";"2120120";"200";"l";"Non";"Non"
2022;"01310";"2120143";"680";"l";"Non";"Non"
2022;"01310";"2120153";"10";"l";"Non";"Non"
2022;"01310";"2120160";"20";"l";"Non";"Non"
2022;"01310";"2130059";"16";"l";"Non";"Non"
2022;"01310";"2130061";"5";"l";"Non";"Non"
2022;"01310";"2130063";"315";"l";"Non";"Non"
2022;"01310";"2130068";"71";"l";"Non";"Non"
2022;"01310";"2130075";"100";"kg";"Non";"Non"
2022;"01310";"2130083";"7";"l";"Non";"Non"
2022;"01310";"2130091";"17";"l";"Non";"Non"
2022;"01310";"2130140";"330";"l";"Non";"Non"
2022;"01310";"2130249";"90";"l";"Non";"Non"
2022;"01310";"2140082";"10";"l";"Non";"Non"
2022;"01310";"2140121";"13.96";"l";"Oui";"Non"
2022;"01310";"2140147";"25";"l";"Non";"Non"
2022;"01310";"2140168";"1.2";"l";"Non";"Non"
2022;"01310";"2140175";"15";"l";"Non";"Non"
2022;"01310";"2140257";"180";"l";"Non";"Non"
2022;"01310";"2150028";"250";"l";"Non";"Non"
2022;"01310";"2150084";"55";"l";"Non";"Non"
2022;"01310";"2150125";"18.4";"l";"Non";"Non"
2022;"01310";"2150140";"780";"l";"Non";"Non"
2022;"01310";"2150483";"900";"kg";"Non";"Non"
2022;"01310";"2150757";"10";"l";"Non";"Non"
2022;"01310";"2150964";"240";"kg";"Non";"Non"
2022;"01310";"2160064";"19.66";"l";"Non";"Non"
2022;"01310";"2160226";"40";"kg";"Non";"Non"
2022;"01310";"2160260";"95";"l";"Non";"Non"
2022;"01310";"2160384";"126";"l";"Non";"Non"
2022;"01310";"2160615";"0.45";"kg";"Oui";"Non"
2022;"01310";"2160617";"40";"l";"Non";"Non"
2022;"01310";"2160693";"60";"l";"Non";"Non"
2022;"01310";"2160920";"45";"l";"Non";"Non"
2022;"01310";"2160931";"130";"l";"Non";"Non"
2022;"01310";"2160936";"24";"l";"Non";"Non"
2022;"01310";"2160959";"175";"l";"Non";"Non"
2022;"01310";"2161101";"12.2";"l";"Non";"Non"
2022;"01310";"2170158";"30";"l";"Non";"Non"
2022;"01310";"2170230";"0.01";"l";"Non";"Non"
2022;"01310";"2170381";"270";"l";"Non";"Non"
2022;"01310";"2170421";"15";"l";"Non";"Non"
2022;"01310";"2170429";"40";"l";"Non";"Non"
2022;"01310";"2170437";"2";"l";"Non";"Non"
2022;"01310";"2170711";"0.09";"kg";"Non";"Non"
2022;"01310";"2170752";"0.26";"l";"Non";"Non"
2022;"01310";"2170979";"67";"kg";"Non";"Non"
2022;"01310";"2180124";"26.91";"l";"Non";"Non"
2022;"01310";"2180233";"28";"l";"Non";"Non"
2022;"01310";"2180260";"256";"kg";"Non";"Non"
2022;"01310";"2180462";"340";"kg";"Non";"Non"
2022;"01310";"2180672";"5";"l";"Non";"Non"
2022;"01310";"2180865";"0.04";"l";"Non";"Non"
2022;"01310";"2189993";"0.9";"kg";"Oui";"Non"
2022;"01310";"2190088";"0.13";"l";"Oui";"Non"
2022;"01310";"2190173";"162";"kg";"Non";"Non"
2022;"01310";"2190215";"3";"l";"Non";"Non"
2022;"01310";"2190311";"40.56";"l";"Non";"Non"
2022;"01310";"2190441";"3";"l";"Non";"Non"
2022;"01310";"2190509";"5";"l";"Non";"Non"
2022;"01310";"2190687";"3";"kg";"Non";"Non"
2022;"01310";"2190722";"20";"l";"Non";"Non"
2022;"01310";"2190760";"1.1";"kg";"Oui";"Non"
2022;"01310";"2190883";"50";"l";"Non";"Non"
2022;"01310";"2200066";"39";"l";"Non";"Non"
2022;"01310";"2200526";"1.39";"l";"Oui";"Non"
2022;"01310";"2200753";"40";"l";"Non";"Non"
2022;"01310";"2200756";"80";"l";"Non";"Non"
2022;"01310";"2210009";"200";"l";"Non";"Non"
2022;"01310";"2210013";"70";"l";"Non";"Non"
2022;"01310";"2210128";"30";"l";"Non";"Non"
2022;"01310";"2210568";"285";"l";"Non";"Non"
2022;"01310";"2210743";"90";"l";"Non";"Non"
2022;"01310";"7700703";"50";"l";"Non";"Non"
2022;"01310";"7900708";"220";"l";"Non";"Non"
2022;"01310";"8400096";"160";"l";"Non";"Non"
2022;"01310";"8400255";"8.4";"kg";"Non";"Non"
2022;"01310";"8600243";"20";"l";"Non";"Non"
2022;"01310";"8700196";"36";"l";"Non";"Non"
2022;"01310";"8700462";"2250";"l";"Non";"Non"
2022;"01310";"8800108";"22";"l";"Non";"Non"
2022;"01310";"8800841";"4";"l";"Non";"Non"
2022;"01310";"8900564";"18";"l";"Non";"Non"
2022;"01310";"8900681";"125";"l";"Non";"Non"
2022;"01310";"9000163";"4.2";"kg";"Non";"Non"
2022;"01310";"9000222";"30";"l";"Non";"Non"
2022;"01310";"9000259";"1.82";"kg";"Non";"Non"
2022;"01310";"9000282";"25";"l";"Non";"Non"
2022;"01310";"9000490";"0.9";"l";"Non";"Non"
2022;"01310";"9000619";"40";"l";"Non";"Non"
2022;"01310";"9000833";"30";"l";"Non";"Non"
2022;"01310";"9100296";"75";"l";"Non";"Non"
2022;"01310";"9100418";"115";"l";"Non";"Non"
2022;"01310";"9300305";"40";"l";"Non";"Non"
2022;"01310";"9400008";"1.72";"l";"Non";"Non"
2022;"01310";"9400085";"11";"l";"Non";"Non"
2022;"01310";"9600093";"38.33";"l";"Non";"Non"
2022;"01310";"9600197";"2.5";"kg";"Non";"Non"
2022;"01310";"9700332";"1";"l";"Non";"Non"
2022;"01310";"9800085";"95";"l";"Non";"Non"
2022;"01310";"9800182";"175";"l";"Non";"Non"
2022;"01310";"9800259";"215";"l";"Non";"Non"
2022;"01310";"9800277";"1";"l";"Non";"Non"
2022;"01310";"9800336";"71";"l";"Non";"Non"
2022;"01310";"9800344";"1.66";"l";"Non";"Non"
2022;"01310";"9900047";"50";"l";"Non";"Non"
2022;"01310";"9900115";"10";"l";"Non";"Non"
2022;"01310";"9900227";"40";"l";"Non";"Non"
2022;"01310";"9900251";"810";"l";"Non";"Non"
2022;"01310";"9900257";"3";"kg";"Oui";"Non"
2022;"01310";"9900340";"60";"l";"Non";"Non"
2022;"01320";"2000003";"284.5";"l";"Non";"Non"
2022;"01320";"2000122";"0.70";"l";"Non";"Non"
2022;"01320";"2000125";"4.62";"kg";"Oui";"Non"
2022;"01320";"2000201";"13.93";"l";"Non";"Non"
2022;"01320";"2000202";"100";"l";"Non";"Non"
2022;"01320";"2000299";"3";"l";"Non";"Non"
2022;"01320";"2000316";"5";"l";"Non";"Non"
2022;"01320";"2000324";"2";"l";"Non";"Non"
2022;"01320";"2010495";"390";"kg";"Non";"Non"
2022;"01320";"2010513";"0.5";"kg";"Non";"Non"
2022;"01320";"2020474";"30";"l";"Non";"Non"
2022;"01320";"2030255";"45";"l";"Non";"Non"
2022;"01320";"2030323";"8.17";"l";"Non";"Non"
2022;"01320";"2030404";"10";"l";"Non";"Non"
2022;"01320";"2040146";"8.8";"l";"Non";"Non"
2022;"01320";"2060088";"650";"l";"Non";"Non"
2022;"01320";"2060118";"35";"l";"Non";"Non"
2022;"01320";"2060127";"1.85";"l";"Non";"Non"
2022;"01320";"2070221";"50";"l";"Non";"Non"
2022;"01320";"2080094";"27.5";"kg";"Non";"Non"
2022;"01320";"2080105";"90";"l";"Non";"Non"
2022;"01320";"2080124";"1.3";"kg";"Non";"Non"
2022;"01320";"2080145";"15";"l";"Non";"Non"
2022;"01320";"2090011";"10";"l";"Non";"Non"
2022;"01320";"2090016";"30";"l";"Non";"Non"
2022;"01320";"2090037";"3";"kg";"Non";"Non"
2022;"01320";"2090050";"11184";"kg";"Non";"Non"
2022;"01320";"2090052";"1.44";"kg";"Non";"Non"
2022;"01320";"2090054";"1.01";"kg";"Non";"Non"
2022;"01320";"2090064";"130";"l";"Non";"Non"
2022;"01320";"2090080";"100";"l";"Non";"Non"
